#Date	#announcements	#ipSpace	ratio
2003-01-01	124212	1307347719	10525.132185296107
2003-01-29	126655	1309802384	10341.497643203979
2003-02-26	124110	1349835188	10876.119474659576
2003-03-26	124759	1340860642	10747.606521373208
2003-04-23	131561	1363380510	10363.1054035770479093
2003-05-21	128638	1379013575	10720.110503894650
2003-06-18	134287	1417996692	10559.448732937663
2003-07-16	138142	1407298383	10187.331752834040
2003-08-13	140756	1416612554	10064.3138054505669385
2003-09-10	141736	1401624784	9888.9822204662188858
2003-10-08	145699	1405155128	9644.2331656360029925
2003-11-05	145271	1429109828	9837.5438181054718423
2003-12-03	147159	1431023638	9724.3365203623291814
2003-12-31	149097	2886356264	19358.915766246135
2004-01-01	148903	1443558295	9694.6219686641639188
2004-01-29	149275	1449935299	9713.1823748115893485
2004-02-26	150091	1465622272	9764.8911127249468656
2004-03-25	152793	2884030936	18875.412721786993
2004-04-22	158173	1469178102	9288.4253444013832955
2004-05-20	158657	2659345297	16761.600792905450
2004-06-17	154080	2809349721	18233.058936915888
2004-07-15	160953	2807198646	17441.107938342249
2004-08-12	162027	1527451605	9427.1424207076598345
2004-09-09	161759	1541241653	9528.0117520508905223
2004-10-07	163727	1567016944	9570.9134351695199936
2004-11-04	165573	1558086802	9410.2710103700482567
2004-12-02	167715	2862875135	17069.881256894136
2004-12-30	168757	1594666955	9449.4862731620021688
2005-01-01	168807	1578140248	9348.7843987512366193
2005-01-29	168901	1587477198	9398.8620434455687059
2005-02-26	169538	1598175123	9426.6484386981089785
2005-03-26	171646	1614050056	9403.3653915617025739
2005-04-23	173488	1632724038	9411.1641035691229365
2005-05-21	175287	1643118578	9373.8758607312578799
2005-06-18	179180	1656883151	9247.0317613572943409
2005-07-16	179258	1632086603	9104.6793058050407792
2005-08-13	181991	1648134358	9056.1311163738866208
2005-09-10	183866	1666945118	9066.0868132226730336
2005-10-08	185769	1717908194	9247.5504201454494560
2005-11-05	187667	1733264470	9235.8511086125957148
2005-12-03	189615	1752420256	9241.9916989689634259
2005-12-31	188850	1760080243	9319.9906963198305533
2006-01-01	188818	1759929482	9320.7717590483958097
2006-01-29	191501	1773151407	9259.2279257027378447
2006-02-26	193838	1831314147	9447.6529215117778764
2006-03-26	195931	1859960890	9492.9382792921998050
2006-04-23	198438	1854620803	9346.0970328263739808
2006-05-21	201971	3164801234	15669.582435102069
2006-06-18	204686	3146999997	15374.769143957085
2006-07-16	206380	2678036593	12976.240880899312
2006-08-13	207198	2699296380	13027.617930675007
2006-09-10	209636	1972591591	9409.6032694766166117
2006-10-08	213563	1977520012	9259.6564573451393734
2006-11-05	217425	2039410156	9379.8328435092560653
2006-12-03	219563	2042733255	9303.6315544968869983
2006-12-31	221753	2055396681	9268.8562544813373438
2007-01-01	210039	2045411725	9738.2473016915906094
2007-01-29	212647	2066774665	9719.2749721369217530
2007-02-26	216353	2086735582	9645.0503667617273622
2007-03-26	220172	2095608470	9518.0516596115764039
2007-04-23	221964	2111450709	9512.5818105638752230
2007-05-21	224324	2125143493	9473.5449305468875377
2007-06-18	226813	2160019145	9523.3480664688531962
2007-07-16	229241	2166905470	9452.5214512238212187
2007-08-13	232826	2186038727	9389.1521007104017593
2007-09-10	233655	2195325136	9395.5838137424835762
2007-10-08	237307	2235638174	9420.8690599097371759
2007-11-05	241331	2243565284	9296.6311165991936386
2007-12-03	243828	2255569776	9250.6593828436438801
2007-12-31	245638	2256669920	9186.9740023937664368
2008-01-01	255641	2271814667	8886.7383048884959768
2008-01-29	257723	2299637957	8922.9054333528633455
2008-02-26	261075	2313221914	8860.3731264962175620
2008-03-25	259396	2333522496	8995.9848879705161221
2008-04-22	269462	2363489602	8771.1425061789788542
2008-05-20	275463	2381962495	8647.1231889582266947
2008-06-17	273411	2361110678	8635.7559790937453138
2008-07-15	275429	2377133007	8630.6562017797690149
2008-08-12	277227	2398827731	8652.9368748354236781
2008-09-09	280560	2409766664	8589.1312517821499857
2008-10-07	283360	2422032360	8547.5450310559006211
2008-11-04	286736	2439762408	8508.7411695775905362
2008-12-02	290647	2508764147	8631.6533354894425196
2008-12-30	292567	2541655277	8687.4298092402765862
2009-01-01	291966	2541185900	8703.7048834453326757
2009-01-29	294812	2551947839	8656.1871260328616203
2009-02-26	296353	2574587223	8687.5692940513509227
2009-03-26	299294	2589371942	8651.5999051100255936
2009-04-23	301879	2615771404	8664.9664401962375654
