#Date	#allocations	#ipSpace	ratio
2003-01-01	54160	1846078763	34085.649242983752
2003-01-29	54350	1852800299	34090.161895124195
2003-02-26	54396	1859856427	34191.051308919774
2003-03-26	54548	1865953579	34207.552595878859
2003-04-23	54594	1854530019	33969.484174085064
2003-05-21	55262	1864045539	33731.054594477218
2003-06-18	55884	1870908899	33478.435670317085
2003-07-16	55959	1857709283	33197.685501885309
2003-08-13	56220	1857816035	33045.464870152970
2003-09-10	56753	1883369443	33185.372456081617
2003-10-08	57319	1905615816	33245.796611943684
2003-11-05	57171	1875399312	32803.332318832975
2003-12-03	57081	1871922320	32794.140256828016
2003-12-31	57176	1874141696	32778.468168462292
2004-01-01	64046	1947162107	30402.556084689130
2004-01-29	61786	1951503995	31584.889699932023
2004-02-26	62176	1958627131	31501.337027148739
2004-03-25	62518	1969251259	31498.948446847308
2004-04-22	62830	1978442363	31488.816855005571
2004-05-20	65146	1985805755	30482.389632517729
2004-06-17	65416	1998498363	30550.604790876850
2004-07-15	65728	2005048859	30505.246759371957
2004-08-12	66108	2016129148	30497.506322986628
2004-09-09	66299	2022177131	30500.869258963182
2004-10-07	66643	2029535978	30453.850787029395
2004-11-04	67016	2041711466	30466.029992837531
2004-12-02	67260	2047479786	30441.269491525424
2004-12-30	68383	2055093034	30052.689030899493
2005-01-01	69123	2056300330	29748.424258206386
2005-01-29	69436	2068272036	29786.739385909327
2005-02-26	68999	2089328036	30280.555312395832
2005-03-26	66608	2099750073	31523.992208143166
2005-04-23	66900	2117206141	31647.326472346786
2005-05-21	70016	2137601246	30530.182329753199
2005-06-18	70423	2150903902	30542.633827016742
2005-07-16	71128	2159733277	30364.037748847149
2005-08-13	71815	2174760732	30282.820190767945
2005-09-10	72151	2186139056	30299.497664620033
2005-10-08	72439	2197672144	30338.245199409158
2005-11-05	73235	2207192176	30138.488099952209
2005-12-03	73656	2213917976	30057.537417182578
2005-12-31	73998	2222378328	30032.951268953215
2006-01-01	73998	2222378328	30032.951268953215
2006-01-29	74599	2231641688	29915.168943283422
2006-02-26	75094	2243889304	29881.073108370842
2006-03-26	75538	2261838168	29943.050755910932
2006-04-23	75956	2278155160	29993.090210121649
2006-05-21	76316	2294106968	30060.629068609466
2006-06-18	76753	2302050098	29992.965721209594
2006-07-16	77173	2320157018	30064.362121467353
2006-08-13	77595	2333475770	30072.501707584252
2006-09-10	77984	2339485306	29999.555113869512
2006-10-08	78613	2348972282	29880.201518832763
2006-11-05	79674	2367117948	29710.042774305294
2006-12-03	80159	2380278780	29694.466996843773
2006-12-31	80552	2390332988	29674.408928394081
2007-01-01	80552	2390332988	29674.408928394081
2007-01-29	80906	2406595740	29745.578078263664
2007-02-26	82242	2423841468	29472.063763040782
2007-03-26	82889	2445716012	29505.917697161264
2007-04-23	83344	2457108556	29481.529036283356
2007-05-21	83797	2476239948	29550.460613148442
2007-06-18	84095	2494782028	29666.234948570070
2007-07-16	85076	2509075852	29492.169965677747
2007-08-13	85377	2533157068	29670.251566581164
2007-09-10	85689	2539694412	29638.511500892763
2007-10-08	86165	2551865100	29616.028549875239
2007-11-05	86621	2549439180	29432.114383348149
2007-12-03	87062	2563204524	29441.139923273070
2007-12-31	87402	2568034972	29381.878812841811
2008-01-01	87411	2568128412	29379.922572673920
2008-01-29	87777	2572519644	29307.445503947503
2008-02-26	88284	2598034838	29428.150491595306
2008-03-25	88578	2614896354	29520.833096254149
2008-04-22	89272	2637043328	29539.422528900439
2008-05-20	89737	2649120096	29520.934464044931
2008-06-17	90251	2660821616	29482.461313448050
2008-07-15	90671	2676887728	29523.085970155838
2008-08-12	91065	2695158648	29595.988008565310
2008-09-09	91415	2707628216	29619.080194716403
2008-10-07	92072	2715463640	29492.827786949344
2008-11-04	95770	2730443632	28510.427398976715
2008-12-02	96250	2746003184	28529.903210389610
2008-12-30	96692	2764255672	28588.256236296695
2009-01-01	96727	2765409464	28589.840106692030
2009-01-29	97036	2778856376	28637.375571952677
2009-02-26	97620	2797700728	28659.093710305265
2009-03-26	98193	2787673784	28389.740449930239
2009-04-23	98663	2801114552	28390.729574409860
