#Date	Prefix	#allocations	#ipSpace	ratio
2003-01-01	1	0	0	0
2003-01-01	2	0	0	0
2003-01-01	3	0	0	0
2003-01-01	4	0	0	0
2003-01-01	5	0	0	0
2003-01-01	6	0	0	0
2003-01-01	7	0	0	0
2003-01-01	8	43	721420288	16777216
2003-01-01	9	4	33554432	8388608
2003-01-01	10	11	46137344	4194304
2003-01-01	11	20	41943040	2097152
2003-01-01	12	44	46137344	1048576
2003-01-01	13	119	62390272	524288
2003-01-01	14	318	83361792	262144
2003-01-01	15	382	50069504	131072
2003-01-01	16	9030	591790080	65536
2003-01-01	17	975	31948800	32768
2003-01-01	18	1762	28868608	16384
2003-01-01	19	5248	42991616	8192
2003-01-01	20	3824	15663104	4096
2003-01-01	21	1322	2707456	2048
2003-01-01	22	1873	1917952	1024
2003-01-01	23	2044	1046528	512
2003-01-01	24	24261	6210816	256
2003-01-01	25	8	1024	128
2003-01-01	26	5	320	64
2003-01-01	27	2	64	32
2003-01-01	28	5	80	16
2003-01-01	29	3	24	8
2003-01-01	30	0	0	0
2003-01-01	31	0	0	0
2003-01-01	32	0	0	0

2004-01-01	1	0	0	0
2004-01-01	2	0	0	0
2004-01-01	3	0	0	0
2004-01-01	4	0	0	0
2004-01-01	5	0	0	0
2004-01-01	6	0	0	0
2004-01-01	7	0	0	0
2004-01-01	8	43	721420288	16777216
2004-01-01	9	3	25165824	8388608
2004-01-01	10	10	41943040	4194304
2004-01-01	11	28	58720256	2097152
2004-01-01	12	70	73400320	1048576
2004-01-01	13	148	77594624	524288
2004-01-01	14	342	89653248	262144
2004-01-01	15	448	58720256	131072
2004-01-01	16	9336	611844096	65536
2004-01-01	17	1141	37388288	32768
2004-01-01	18	2050	33587200	16384
2004-01-01	19	5701	46702592	8192
2004-01-01	20	4568	18710528	4096
2004-01-01	21	1610	3297280	2048
2004-01-01	22	2589	2651136	1024
2004-01-01	23	3173	1624576	512
2004-01-01	24	29520	7557120	256
2004-01-01	25	41	5248	128
2004-01-01	26	23	1472	64
2004-01-01	27	23	736	32
2004-01-01	28	11	176	16
2004-01-01	29	5	40	8
2004-01-01	30	0	0	0
2004-01-01	31	0	0	0
2004-01-01	32	0	0	0

2005-01-01	1	0	0	0
2005-01-01	2	0	0	0
2005-01-01	3	0	0	0
2005-01-01	4	0	0	0
2005-01-01	5	0	0	0
2005-01-01	6	0	0	0
2005-01-01	7	0	0	0
2005-01-01	8	43	721420288	16777216
2005-01-01	9	3	25165824	8388608
2005-01-01	10	13	54525952	4194304
2005-01-01	11	25	52428800	2097152
2005-01-01	12	77	80740352	1048576
2005-01-01	13	188	98566144	524288
2005-01-01	14	418	109576192	262144
2005-01-01	15	556	72876032	131072
2005-01-01	16	9558	626393088	65536
2005-01-01	17	1358	44498944	32768
2005-01-01	18	2354	38567936	16384
2005-01-01	19	6528	53477376	8192
2005-01-01	20	5468	22396928	4096
2005-01-01	21	2040	4177920	2048
2005-01-01	22	3302	3381248	1024
2005-01-01	23	3929	2011648	512
2005-01-01	24	29960	7669760	256
2005-01-01	25	53	6784	128
2005-01-01	26	29	1856	64
2005-01-01	27	30	960	32
2005-01-01	28	11	176	16
2005-01-01	29	5	40	8
2005-01-01	30	0	0	0
2005-01-01	31	0	0	0
2005-01-01	32	0	0	0

2006-01-01	1	0	0	0
2006-01-01	2	0	0	0
2006-01-01	3	0	0	0
2006-01-01	4	0	0	0
2006-01-01	5	0	0	0
2006-01-01	6	0	0	0
2006-01-01	7	0	0	0
2006-01-01	8	44	738197504	16777216
2006-01-01	9	4	33554432	8388608
2006-01-01	10	15	62914560	4194304
2006-01-01	11	41	85983232	2097152
2006-01-01	12	99	103809024	1048576
2006-01-01	13	230	120586240	524288
2006-01-01	14	454	119013376	262144
2006-01-01	15	643	84279296	131072
2006-01-01	16	9693	635240448	65536
2006-01-01	17	1535	50298880	32768
2006-01-01	18	2665	43663360	16384
2006-01-01	19	7103	58187776	8192
2006-01-01	20	6095	24965120	4096
2006-01-01	21	2608	5341184	2048
2006-01-01	22	3823	3914752	1024
2006-01-01	23	4628	2369536	512
2006-01-01	24	30927	7917312	256
2006-01-01	25	58	7424	128
2006-01-01	26	37	2368	64
2006-01-01	27	35	1120	32
2006-01-01	28	11	176	16
2006-01-01	29	7	56	8
2006-01-01	30	0	0	0
2006-01-01	31	0	0	0
2006-01-01	32	0	0	0

2007-01-01	1	0	0	0
2007-01-01	2	0	0	0
2007-01-01	3	0	0	0
2007-01-01	4	0	0	0
2007-01-01	5	0	0	0
2007-01-01	6	0	0	0
