#Date	New Allocations	New from splitting	Prefix extension	Deallocation
2003-01-01	0	122	48	61
2003-01-29	173	16	166	36
2003-02-26	194	4	61	4
2003-03-26	173	147	79	197
2003-04-23	167	518	36	13
2003-05-21	233	520	38	16
2003-06-18	199	119	24	150
2003-07-16	152	233	44	68
2003-08-13	167	82	136	41
2003-09-10	612	110	46	27
2003-10-08	453	142	72	411
2003-11-05	208	154	71	352
2003-12-03	178	75	40	122
2003-12-31	179	0	0	0
2004-01-01	0	46	50	2547
2004-01-29	268	175	81	49
2004-02-26	343	101	45	51
2004-03-25	324	94	77	64
2004-04-22	340	2786	66	32
2004-05-20	327	36	82	41
2004-06-17	332	93	63	43
2004-07-15	327	118	68	18
2004-08-12	333	63	61	143
2004-09-09	318	41	62	31
2004-10-07	385	102	63	20
2004-11-04	361	45	131	58
2004-12-02	369	89	45	31
2004-12-30	467	0	0	0
2005-01-01	0	52	60	35
2005-01-29	335	807	69	20
2005-02-26	347	482	726	2426
2005-03-26	592	122	131	70
2005-04-23	380	136	111	27
2005-05-21	2905	100	39	39
2005-06-18	396	892	49	382
2005-07-16	294	46	54	27
2005-08-13	680	34	43	24
2005-09-10	338	54	57	73
2005-10-08	350	38	32	65
2005-11-05	855	111	52	52
2005-12-03	425	38	43	24
2005-12-31	353	0	0	0
2006-01-01	0	471	214	38
2006-01-29	408	201	56	53
2006-02-26	439	40	42	23
2006-03-26	445	29	58	26
2006-04-23	458	56	110	43
2006-05-21	445	50	28	31
2006-06-18	443	83	60	29
2006-07-16	417	85	53	17
2006-08-13	395	38	24	29
2006-09-10	389	45	32	61
2006-10-08	669	18	42	33
2006-11-05	1094	27	47	43
2006-12-03	525	41	48	42
2006-12-31	428	0	0	0
2007-01-01	0	69	42	63
2007-01-29	369	971	50	47
2007-02-26	455	409	35	240
2007-03-26	509	22	46	64
2007-04-23	516	20	38	30
2007-05-21	488	62	33	228
2007-06-18	512	624	16	52
2007-07-16	435	10	93	105
2007-08-13	444	34	85	74
2007-09-10	425	37	39	84
2007-10-08	545	98	41	60
2007-11-05	471	56	32	67
2007-12-03	483	12	45	80
2007-12-31	429	0	0	0
2008-01-01	0	15	61	62
2008-01-29	431	20	38	49
2008-02-26	550	23	60	235
2008-03-25	539	10	66	31
2008-04-22	738	22	31	48
2008-05-20	506	22	32	46
2008-06-17	561	21	29	114
2008-07-15	536	6	40	102
2008-08-12	507	7	29	115
2008-09-09	472	187	30	47
2008-10-07	542	15	44	65
2008-11-04	3770	16	32	50
2008-12-02	536	25	27	52
2008-12-30	490	0	0	0
2009-01-01	0	9	15	123
2009-01-29	429	77	14	65
2009-02-26	576	174	35	71
2009-03-26	536	38	29	75
2009-04-23	533	0	0	0
